[Header]	
System	Smithsonian TCTN	
S/W Version	1.00	
User	sjw	
Date/Time	8/20/2023 2:34:29 PM	

[System]	
Instrument Options	TOC/ASI/IC Unit/TN/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Result(TOC)	Result(TC)	Result(IC)	Result(POC)	Result(NPOC)	Result(TN)	Unit	Vial	Date / Time	
Unknown	IC	DI	Untitled			1.079				mg/L	0	8/18/2023 1:37:46 PM	
Unknown	IC	DI	Untitled			1.080				mg/L	0	8/18/2023 1:48:49 PM	
Unknown	IC	DI	Untitled			1.067				mg/L	0	8/18/2023 1:57:43 PM	
Unknown	IC	Chk_Std_40mgL_IC	Untitled			37.96				mg/L	1	8/18/2023 2:11:19 PM	
Unknown	IC	DI	Untitled			1.077				mg/L	0	8/18/2023 2:22:24 PM	
Unknown	IC	DI	Untitled			1.068				mg/L	0	8/18/2023 2:31:16 PM	
Standard	IC	CalCurve_IC	Untitled			200.0				mg/L	2, 3, 4, 5, 6, 7, 8, 9	8/18/2023 4:25:13 PM	
Unknown	IC	DI	Untitled			1.135				mg/L	0	8/18/2023 4:37:41 PM	
Unknown	IC	DI	Untitled			1.110				mg/L	0	8/18/2023 4:50:56 PM	
Unknown	IC	DIC_CRM_209-0374	Untitled			22.92				mg/L	10	8/18/2023 5:04:25 PM	
Unknown	IC	DI	Untitled			1.125				mg/L	0	8/18/2023 5:15:30 PM	
Unknown	IC	Flume_20230815_GW-1	Untitled			93.88				mg/L	11	8/18/2023 5:35:34 PM	
Unknown	IC	Flume_20230815_GW-2	Untitled			71.06				mg/L	12	8/18/2023 5:55:35 PM	
Unknown	IC	Flume_20230815_GW-3	Untitled			30.17				mg/L	13	8/18/2023 6:09:56 PM	
Unknown	IC	Flume_20230815_GW-4	Untitled			66.76				mg/L	14	8/18/2023 6:30:15 PM	
Unknown	IC	Flume_20230815_GW-5	Untitled			61.92				mg/L	15	8/18/2023 6:45:09 PM	
Unknown	IC	Flume_20230815_GW-6	Untitled			61.06				mg/L	16	8/18/2023 6:59:55 PM	
Unknown	IC	DI	Untitled			1.164				mg/L	0	8/18/2023 7:14:11 PM	
Unknown	IC	DIC_CRM_209=0374	Untitled			23.24				mg/L	17	8/18/2023 7:27:35 PM	
Unknown	IC	DI_Bubbled	Untitled			1.035				mg/L	18	8/18/2023 7:38:28 PM	
Unknown	IC	Flume_20230816_SW-0530	Untitled			18.09				mg/L	19	8/18/2023 7:51:29 PM	
Unknown	IC	Flume_20230816_SW-0630	Untitled			18.46				mg/L	20	8/18/2023 8:04:41 PM	
Unknown	IC	Flume_20230816_SW-0730	Untitled			20.41				mg/L	21	8/18/2023 8:18:04 PM	
Unknown	IC	Flume_20230816_SW-0730_dup	Untitled			20.07				mg/L	22	8/18/2023 8:31:30 PM	
Unknown	IC	Flume_20230816_SW-0830	Untitled			21.96				mg/L	23	8/18/2023 8:45:00 PM	
Unknown	IC	Flume_20230816_SW-0930	Untitled			24.27				mg/L	24	8/18/2023 8:58:34 PM	
Unknown	IC	Flume_20230816_SW-1030	Untitled			27.51				mg/L	25	8/18/2023 9:12:10 PM	
Unknown	IC	Flume_20230816_SW-1030_dup	Untitled			27.96				mg/L	26	8/18/2023 9:25:41 PM	
